# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DiskQueryRelay.tasksRequested,1788582552770000000,1788582612887000000,1440
parser.JAVA.time.ns,1788582552770000000,1788582612887000000,33174791
parser.XML.size.bytes,1788582552770000000,1788582612887000000,1951669
LowMemory.gcOverloaded,1788582552770000000,1788582612887000000,0
writeAction.max.wait.ms,1788582552770000000,1788582612887000000,212
writeAction.count,1788582552770000000,1788582612887000000,11
writeAction.median.wait.ms,1788582552770000000,1788582612887000000,100
parser.XML.time.ns,1788582552770000000,1788582612887000000,398
lexer.XML.size.bytes,1788582552770000000,1788582612887000000,1951669
LowMemory.gcLoad,1788582552770000000,1788582612887000000,0.0
DiskQueryRelay.taskWaitingTotalTimeUs,1788582552770000000,1788582612887000000,1063932
writeAction.wait.ms,1788582552770000000,1788582612887000000,364
DiskQueryRelay.taskExecutionTotalTimeUs,1788582552770000000,1788582612887000000,823516
parser.JAVA.size.bytes,1788582552770000000,1788582612887000000,244
DiskQueryRelay.tasksExecuted,1788582552770000000,1788582612887000000,1440
lexer.JAVA.time.ns,1788582552770000000,1788582612887000000,565625
lexer.JAVA.size.bytes,1788582552770000000,1788582612887000000,244
lexer.XML.time.ns,1788582552770000000,1788582612887000000,141784330
FlushQueue.queueSize90P,1788582552770000000,1788582612887000000,1
FlushQueue.waitingTimeMaxNs,1788582552770000000,1788582612887000000,209919
AWTEventQueue.eventsDispatched,1788582552770000000,1788582612887000000,12
FlushQueue.executionTimeMaxNs,1788582552770000000,1788582612887000000,125439
NonBlockingReadAction.finalizedExecutionTimeUs,1788582552770000000,1788582612887000000,5397883
FlushQueue.waitingTimeAvgNs,1788582552770000000,1788582612887000000,123891.2
FlushQueue.executionTime90PNs,1788582552770000000,1788582612887000000,122879
AWTEventQueue.dispatchTimeMaxNs,1788582552770000000,1788582612887000000,262143
NonBlockingReadAction.failedExecutionTimeUs,1788582552770000000,1788582612887000000,94548
NonBlockingReadAction.finalizedExecutionsCount,1788582552770000000,1788582612887000000,406
ReadAction.executionsCount,1788582552770000000,1788582612887000000,6249
WriteAction.executionsCount,1788582552770000000,1788582612887000000,11
FlushQueue.queueSizeAvg,1788582552770000000,1788582612887000000,0.5
NonBlockingReadAction.failedExecutionsCount,1788582552770000000,1788582612887000000,6
AWTEventQueue.dispatchTimeTotalNS,1788582552770000000,1788582612887000000,13097307653
FlushQueue.queueSizeMax,1788582552770000000,1788582612887000000,1
FlushQueue.tasksExecuted,1788582552770000000,1788582612887000000,10
AWTEventQueue.dispatchTime90PNs,1788582552770000000,1788582612887000000,219135
AWTEventQueue.dispatchTimeAvgNs,1788582552770000000,1788582612887000000,92933.33333333333
FlushQueue.executionTimeAvgNs,1788582552770000000,1788582612887000000,60713.6
FlushQueue.waitingTime90PNs,1788582552770000000,1788582612887000000,193535
JVM.maxHeapBytes,1788582552770000000,1788582612887000000,2147483648
MEM.ramPlusSwapMinusFileMappingsBytes,1788582552770000000,1788582612887000000,1723592576
MEM.fileMappingsRamBytes,1788582552770000000,1788582612887000000,51642368
